Rank,City,State,Score,TCI,Jobs,Trips/Week,Routes,Transit Shed (sq mi),Transit percentage,Population
53,Decatur, GA,8.7,12.4,"252,302","3,556",9,59,0.075,"22,183"
54,Gladeview, FL,8.7,12.8,"332,539","3,099",10,76,0.131,"13,215"
55,Alexandria, VA,8.6,11.8,"416,204","4,254",17,39,0.231,"154,710"
56,East St. Louis, IL,8.6,10.7,"87,676","3,997",7,29,0.177,"25,590"
57,Merrifield, VA,8.6,12.2,"398,518","2,764",11,46,0.185,"16,264"
58,Revere, MA,8.6,12.7,"444,835","3,535",11,36,0.285,"53,860"
59,Santa Monica, CA,8.6,13.7,"407,401","4,068",10,37,0.05,"92,495"
60,Falls Church, VA,8.6,12.1,"407,904","2,491",10,44,0.215,"13,843"
61,Evanston, IL,8.5,13,"222,631","2,133",7,42,0.243,"75,557"
62,Summerfield, MD,8.5,12.1,"137,860","2,880",10,41,0.247,"13,602"
63,Ardmore, PA,8.5,11.5,"292,179","1,350",5,42,0.147,"12,975"
64,Hartford, CT,8.5,7.3,"210,431","7,230",19,54,0.157,"124,390"
65,Milwaukie, OR,8.5,9.2,"145,284","5,058",7,40,0.063,"21,209"
66,Drexel Hill, PA,8.5,12,"163,816","1,439",4,45,0.11,"28,318"
67,College Park, MD,8.5,13.3,"228,166","3,181",15,51,0.15,"29,892"
68,Medford, MA,8.5,11.8,"519,286","3,316",10,39,0.21,"57,700"
69,Lakewood, OH,8.5,6.2,"129,803","3,716",3,28,0.047,"50,778"
70,Miami, FL,8.5,14.7,"351,133","3,659",11,51,0.114,"441,638"
71,Edgewater, NJ,8.5,11.3,"859,494","4,060",13,37,0.445,"12,165"
72,Secaucus, NJ,8.5,9.9,"2,126,892","3,161",16,67,0.304,"19,279"
73,Walnut Park, CA,8.5,10.1,"362,969","3,714",10,66,0.076,"15,915"
74,Rockville, MD,8.5,13.4,"301,984","4,990",15,70,0.19,"61,714"
75,Mineola, NY,8.5,11.2,"283,333","2,214",10,48,0.14,"19,194"
76,Lennox, CA,8.5,11.7,"337,913","1,716",9,57,0.075,"18,700"
77,Tarrytown, NY,8.5,10,"140,730","2,247",6,36,0.232,"11,534"
78,South Pasadena, CA,8.5,12.8,"389,745","1,862",6,56,0.053,"25,974"
79,Seattle, WA,8.5,11.7,"401,239","6,152",22,39,0.23,"688,939"
80,Willowbrook, CA,8.4,12.5,"218,770","1,784",5,54,0.054,"22,706"
81,Dobbs Ferry, NY,8.4,9.1,"142,739","2,638",4,37,0.262,"11,141"
82,Salt Lake City, UT,8.4,11.1,"192,038","4,640",12,36,0.07,"197,307"
83,Midvale, UT,8.4,8.9,"162,347","2,459",7,41,0.061,"31,198"
84,Warrensville Heights, OH,8.4,5,"95,938","4,351",3,35,0.118,"13,345"
85,Cleveland Heights, OH,8.4,6.1,"146,049","4,430",4,42,0.05,"45,024"
86,Westmont, CA,8.4,10.4,"257,625","2,680",7,63,0.121,"33,532"
87,Baltimore, MD,8.4,17,"289,911","3,930",11,49,0.189,"619,796"
88,Everett, MA,8.4,9.7,"416,461","3,771",8,36,0.235,"45,212"
89,Lynbrook, NY,8.4,10.9,"215,869","2,289",8,47,0.203,"19,458"
90,River Forest, IL,8.4,12.1,"252,079","2,073",8,50,0.231,"11,215"
91,Langley Park, MD,8.4,9.4,"174,364","5,137",14,54,0.189,"20,114"
92,Hackensack, NJ,8.4,9.7,"329,926","3,244",14,63,0.203,"44,673"
93,East Orange, NJ,8.4,11.6,"260,541","2,882",11,45,0.266,"65,151"
94,Passaic, NJ,8.4,10.1,"254,453","2,388",10,55,0.174,"71,057"
95,Daly City, CA,8.4,13.4,"287,763","3,647",12,32,0.205,"102,234"
96,St. Louis, MO,8.4,8.4,"199,125","4,495",7,45,0.099,"314,867"
97,White Plains, NY,8.3,10.4,"201,243","6,694",24,50,0.185,"58,404"
98,Haddonfield, NJ,8.3,10.2,"371,982","1,579",6,51,0.117,"10,930"
99,Pasadena, CA,8.3,12.9,"248,166","2,935",11,48,0.068,"142,323"
100,Minneapolis, MN,8.3,12.9,"375,423","4,677",18,56,0.142,"409,286"
101,Oakland, CA,8.3,13.5,"388,553","4,724",15,43,0.228,"417,442"
102,Wallington, NJ,8.3,9.4,"323,072","1,959",8,53,0.101,"11,701"
103,Urbana, IL,8.3,9.3,"62,721","7,437",18,27,0.14,"35,681"
104,Pittsburgh, PA,8.3,11.3,"296,970","4,548",17,65,0.179,"305,012"
105,Cicero, IL,8.3,11.5,"280,465","2,130",7,42,0.111,"83,735"
106,University City, MO,8.3,8.5,"234,678","2,704",5,45,0.081,"34,708"
107,Beverly Hills, CA,8.2,8.9,"666,121","4,770",10,51,0.02,"34,506"
108,Miami Beach, FL,8.2,9.4,"214,987","3,442",8,22,0.105,"91,872"
109,Dunn Loring, VA,8.2,9.8,"321,518","2,184",8,35,0.136,"11,006"
110,Hasbrouck Heights, NJ,8.2,8.6,"399,165","2,014",8,61,0.115,"12,205"
111,South Miami, FL,8.2,11.3,"300,204","1,654",6,52,0.054,"12,127"
112,SeaTac, WA,8.2,9.5,"155,601","2,829",3,40,0.136,"28,834"
113,Cliffside Park, NJ,8.2,9.2,"339,351","2,475",10,30,0.313,"24,861"
114,Hempstead, NY,8.2,10.1,"245,030","3,868",16,48,0.238,"55,698"
115,University Heights, OH,8.2,4.9,"128,846","2,432",3,37,0.022,"13,201"
116,Landover, MD,8.2,11.5,"146,326","1,912",7,41,0.214,"21,828"
117,Arlington, MA,8.2,10.1,"283,852","3,629",8,36,0.218,"44,992"
118,Garden City, NY,8.2,9.6,"292,912","1,699",8,48,0.258,"22,728"
119,Fort Lee, NJ,8.1,8.4,"253,795","2,966",12,39,0.279,"37,058"
120,New Carrollton, MD,8.1,11.7,"174,935","2,786",12,48,0.194,"12,104"
121,Albany, NY,8.1,8.3,"143,345","4,733",17,32,0.146,"98,498"
122,Oak Grove, OR,8.1,7.7,"122,569","3,844",6,33,0.059,"15,933"
123,Valley Stream, NY,8.1,9.9,"176,695","1,750",6,35,0.255,"37,843"
124,Watertown Town, MA,8.1,8,"550,300","4,219",7,39,0.174,"34,553"
125,Inwood, NY,8.1,10.5,"73,926","1,897",6,19,0.211,"10,289"
126,Coral Hills, MD,8.1,7.9,"159,423","2,816",10,44,0.279,"11,172"
127,Chevy Chase, MD,8.1,9.9,"410,876","3,093",13,64,0.139,"11,328"
128,West Rancho Dominguez, CA,8.1,9.4,"238,080","1,604",5,51,0.052,"22,781"
129,Newton, MA,8.1,9.9,"497,553","1,997",6,35,0.131,"88,479"
130,Waipahu, HI,8.1,7.7,"159,389","3,345",10,40,0.202,"41,588"
131,Belmont, MA,8.1,8.7,"369,585","2,506",5,33,0.175,"25,965"
132,Eastchester, NY,8,8,"172,349","2,220",5,35,0.249,"20,099"
133,Camden, NJ,8,9.9,"351,486","2,554",12,44,0.139,"75,550"
134,Bethesda, MD,8,11.7,"396,233","2,870",9,48,0.211,"66,507"
135,Bailey's Crossroads, VA,8,8.5,"290,017","3,343",13,39,0.173,"24,643"
136,Rutherford, NJ,8,8.5,"647,328","1,689",8,57,0.217,"18,622"
137,New Rochelle, NY,8,9.4,"150,606","3,321",8,30,0.247,"79,877"
138,Euclid, OH,8,4.7,"63,833","3,558",4,29,0.069,"47,698"
139,Atlanta, GA,8,11,"282,092","3,891",13,40,0.11,"460,855"
140,Berwyn, IL,8,8.4,"266,118","1,460",5,41,0.118,"56,367"
141,Long Beach, CA,8,17,"197,687","3,162",13,47,0.066,"470,873"
142,Collingswood, NJ,8,9,"326,237","1,117",5,40,0.157,"13,969"
143,Walker Mill, MD,8,10.2,"133,614","3,071",10,41,0.248,"12,027"
144,Elmwood Park, IL,8,8.8,"202,535","2,194",5,45,0.095,"24,831"
145,Signal Hill, CA,8,13.8,"223,682","3,042",13,55,0.038,"11,518"
146,Highland Park, MI,8,8.1,"268,061","2,906",13,84,0.199,"10,955"
147,Gladstone, OR,7.9,4.7,"73,916","3,567",6,32,0.041,"11,394"
148,Gresham, OR,7.9,8.6,"74,171","3,858",5,31,0.086,"107,597"
149,Blue Island, IL,7.9,9.4,"130,425","1,405",7,56,0.126,"21,809"
150,Opa-locka, FL,7.9,8.5,"167,550","2,160",9,71,0.048,"16,189"
151,La Mesa, CA,7.9,10.4,"76,353","1,338",4,22,0.028,"59,713"
152,Beachwood, OH,7.9,4.6,"93,368","2,282",3,30,0.037,"11,743"
153,Murray, UT,7.9,8,"173,207","3,059",6,41,0.042,"49,472"
154,National City, CA,7.9,8.6,"90,154","2,573",7,31,0.07,"59,700"
155,Urban Honolulu, HI,7.9,9.1,"237,527","4,600",20,31,0.127,"350,806"
156,Champaign, IL,7.9,8.4,"65,615","5,594",17,29,0.09,"75,047"
157,Lemon Grove, CA,7.9,9.2,"75,237","1,274",5,27,0.044,"26,081"
158,Huntington Park, CA,7.9,8.5,"348,184","3,118",8,61,0.112,"60,337"
159,Trenton, NJ,7.9,9.7,"119,836","1,797",10,36,0.105,"84,867"
160,Millcreek, UT,7.9,6.2,"199,168","3,296",6,43,0.031,"56,551"
161,Westview, FL,7.9,7,"215,104","3,039",9,81,0.072,"14,230"
162,Ann Arbor, MI,7.9,5.8,"115,863","4,613",12,26,0.119,"116,131"
163,Wilkinsburg, PA,7.9,7.9,"339,964","4,255",18,92,0.284,"15,748"
164,Echelon, NJ,7.9,8.8,"101,391","1,192",4,29,0.102,"11,033"
165,Tempe, AZ,7.9,7.6,"232,681","3,256",7,47,0.052,"176,808"
166,Glassmanor, MD,7.9,8.3,"90,435","3,500",15,36,0.267,"18,100"
167,New Haven, CT,7.9,6.8,"126,071","3,905",11,38,0.129,"130,884"
168,Mamaroneck, NY,7.8,9.1,"137,618","2,116",4,28,0.255,"19,327"
169,Ypsilanti, MI,7.8,5.7,"79,136","4,481",9,25,0.09,"20,949"
170,Denver, CO,7.8,10.3,"294,829","3,294",11,51,0.074,"678,467"
171,Sunny Isles Beach, FL,7.8,7.8,"106,643","1,977",4,27,0.04,"20,903"
172,Lawndale, CA,7.8,8,"266,406","2,111",10,45,0.038,"33,191"
173,El Cerrito, CA,7.8,11.2,"300,928","2,836",13,34,0.254,"29,191"
174,Linthicum, MD,7.8,12.9,"162,053","3,230",4,23,0.025,"10,935"
175,Buffalo, NY,7.8,8.9,"151,138","2,233",10,42,0.118,"259,578"
176,San Fernando, CA,7.8,7.5,"192,862","1,971",7,47,0.052,"24,581"
177,Roselle Park, NJ,7.8,7.7,"195,653","1,640",6,45,0.124,"13,709"
178,Chester, PA,7.8,8.1,"129,797","1,585",5,38,0.164,"34,102"
179,Rocky River, OH,7.8,3.7,"96,171","4,407",4,26,0.042,"20,273"
180,White Oak, MD,7.8,6.9,"135,842","3,385",12,53,0.166,"19,394"
181,Norristown, PA,7.8,8.9,"90,452","1,078",6,27,0.115,"33,641"
182,San Leandro, CA,7.7,10.1,"179,839","2,224",6,34,0.133,"90,412"
183,South San Francisco, CA,7.7,9.2,"240,928","1,998",10,32,0.142,"62,593"
184,Lynwood, CA,7.7,9.2,"189,616","1,834",5,52,0.058,"71,209"
185,Richmond, VA,7.7,9,"140,933","5,564",10,28,0.054,"220,892"
186,Suitland, MD,7.7,9.4,"136,617","2,637",10,38,0.224,"24,927"
187,Stanford, CA,7.7,9.1,"249,185","3,472",17,38,0.031,"15,077"
188,Los Angeles, CA,7.7,10.1,"480,500","3,944",10,56,0.104,"3,945,048"
189,West Little River, FL,7.7,8.2,"234,147","2,111",7,71,0.066,"32,107"
190,Wilmington, DE,7.7,6.7,"145,953","2,613",16,44,0.127,"71,750"
191,Summit, IL,7.7,7.1,"163,964","2,251",6,42,0.065,"11,616"
192,Compton, CA,7.7,9,"185,108","1,363",6,50,0.065,"101,391"
193,North New Hyde Park, NY,7.7,7,"251,126","2,583",7,40,0.18,"15,742"
194,Winchester, NV,7.7,8.5,"316,943","2,841",4,51,0.09,"27,974"
195,Shorewood, WI,7.7,7.1,"167,489","2,581",8,33,0.064,"13,367"
196,Port Chester, NY,7.7,8,"124,063","1,451",5,21,0.177,"29,623"
197,Hillsboro, OR,7.7,7.8,"88,300","2,906",4,25,0.073,"95,885"
198,Ossining, NY,7.7,7.8,"57,135","1,572",4,25,0.136,"25,386"
199,Parma Heights, OH,7.7,3.6,"80,389","3,225",3,30,0.016,"20,245"
200,Inglewood, CA,7.7,7.6,"302,080","2,342",7,61,0.074,"112,899"
201,La Riviera, CA,7.7,8.1,"166,251",830,5,30,0.06,"10,693"
202,Tukwila, WA,7.7,7.6,"258,807","2,312",2,40,0.126,"21,647"
203,Milwaukee, WI,7.7,7.2,"215,877","2,979",8,52,0.084,"599,111"
204,Ridgefield, NJ,7.7,7,"321,659","2,000",8,39,0.112,"11,369"
205,St. Paul, MN,7.7,10.1,"247,712","2,504",8,43,0.097,"300,820"
206,Mountain View, CA,7.7,8.2,"293,262","1,665",7,43,0.077,"81,840"
207,Leon Valley, TX,7.7,4.5,"183,993","3,037",12,46,0.035,"12,476"
208,Garfield, NJ,7.7,7.9,"233,443","1,026",6,47,0.094,"31,808"
209,West Hempstead, NY,7.6,7.6,"220,675","2,014",5,41,0.137,"19,841"
210,Richfield, MN,7.6,7.1,"289,982","2,286",9,47,0.075,"35,993"
211,Fairview, NJ,7.6,8.3,"490,354","3,923",13,32,0.259,"18,053"
212,Skokie, IL,7.6,8.2,"192,430","1,499",6,49,0.098,"64,434"
213,Aloha, OR,7.6,6,"96,454","2,496",3,27,0.085,"54,367"
214,Commerce, CA,7.6,5.6,"536,380","2,534",14,68,0.029,"13,278"
215,Cherryland, CA,7.6,8.8,"121,814","1,350",5,34,0.068,"15,231"
216,Pittsburg, CA,7.5,4.3,"89,988","2,182",11,44,0.102,"60,542"
217,North Miami Beach, FL,7.5,6.9,"121,952","2,759",9,41,0.102,"40,172"
218,West University Place, TX,7.5,6.1,"529,711","2,142",4,44,0.004,"15,284"
219,Redland, MD,7.5,8.9,"226,922","3,604",12,59,0.167,"17,142"
220,Beaverton, OR,7.5,7.2,"159,396","3,694",6,35,0.101,"100,162"
221,Rockville Centre, NY,7.5,8.5,"184,531","1,785",6,38,0.275,"24,474"
222,Swansea, IL,7.5,6.4,"46,809","1,539",3,26,0.047,"12,960"
223,Franconia, VA,7.5,9.8,"162,864","2,715",11,37,0.167,"20,461"
224,West Allis, WI,7.5,5.9,"220,446","1,990",7,49,0.033,"60,585"
225,Winthrop Town, MA,7.5,6.5,"107,736","1,356",2,6,0.215,"18,391"
226,Bedford, OH,7.5,3.4,"80,862","3,467",3,30,0.021,"12,766"
227,Melrose, MA,7.5,8.3,"239,600","1,585",6,25,0.228,"28,132"
228,Glen Rock, NJ,7.5,7.3,"198,676","1,125",5,47,0.241,"11,962"
229,Clifton, NJ,7.5,6.8,"224,827","1,615",7,49,0.12,"86,207"
230,East Point, GA,7.5,7.8,"163,841","2,965",6,37,0.181,"36,297"
231,Springfield, VA,7.5,8.1,"221,800","2,999",15,46,0.086,"29,573"
232,Jennings, MO,7.5,4.5,"101,434","2,591",4,41,0.088,"16,266"
233,Burlingame, CA,7.4,8.7,"236,827","1,370",6,32,0.172,"30,016"
234,Ridgefield Park, NJ,7.4,6.2,"429,517","1,737",7,51,0.17,"13,070"
235,Harvey, IL,7.4,7.3,"89,400","1,671",8,52,0.123,"22,241"
236,Elmwood Park, NJ,7.4,6.4,"253,285","1,643",6,50,0.059,"20,293"
237,Providence, RI,7.4,7.2,"146,767","2,385",12,36,0.073,"179,509"
238,Paterson, NJ,7.4,7.7,"188,642","1,938",9,47,0.109,"147,890"
239,North Miami, FL,7.4,6.3,"184,084","2,270",9,51,0.11,"63,942"
240,Niles, IL,7.4,6.4,"213,614","1,790",8,59,0.048,"30,338"
241,Fair Lawn, NJ,7.4,7.2,"242,854","1,078",7,55,0.149,"33,447"
242,Park Ridge, IL,7.4,7.8,"217,006","1,231",6,54,0.139,"37,991"
243,Lynn, MA,7.4,7.4,"134,829","1,738",10,34,0.144,"93,069"
244,Alameda, CA,7.4,6.2,"278,887","1,978",8,25,0.191,"78,246"
245,Perth Amboy, NJ,7.4,7.8,"69,392","1,141",6,18,0.039,"52,563"
246,New Orleans, LA,7.4,9.1,"124,481","1,737",6,29,0.079,"388,182"
247,Hayward, CA,7.4,7.9,"118,097","1,980",7,33,0.095,"153,633"
248,Willow Grove, PA,7.4,7.1,"108,193","1,163",6,29,0.042,"15,382"
249,San Pablo, CA,7.4,6.5,"63,602","2,051",11,26,0.137,"31,633"
250,Scarsdale, NY,7.4,6.6,"171,137","2,144",5,40,0.482,"17,856"
251,Gaithersburg, MD,7.4,6.9,"196,376","2,073",8,51,0.142,"67,980"
252,Taylorsville, UT,7.3,4.4,"101,703","2,405",4,38,0.041,"61,008"
253,Alum Rock, CA,7.3,7.8,"127,804","1,201",4,32,0.027,"11,109"
254,South Gate, CA,7.3,6.3,"210,152","2,226",6,55,0.073,"95,232"
255,Azusa, CA,7.3,9.4,"118,549","1,696",5,32,0.035,"45,870"
256,Bell, CA,7.3,5.9,"235,229","1,775",5,54,0.084,"35,877"
257,Greenbelt, MD,7.3,7.6,"120,617","1,682",8,36,0.156,"23,140"
258,Wauwatosa, WI,7.3,5.6,"238,765","2,022",6,55,0.016,"47,687"
259,Reston, VA,7.3,7.2,"192,074","2,519",13,30,0.092,"59,509"
260,Boulder, CO,7.3,6.8,"101,387","3,394",15,34,0.09,"98,360"
261,Englewood, CO,7.3,8.1,"177,202","1,337",5,33,0.058,"33,258"
262,Campbell, CA,7.3,7.4,"245,901","1,375",7,53,0.034,"41,492"
263,Floral Park, NY,7.3,7.5,"238,366","1,287",6,36,0.193,"16,269"
264,Melrose Park, IL,7.3,6.2,"167,944","1,056",4,42,0.042,"24,938"
265,Doraville, GA,7.3,7.3,"157,716","2,651",9,39,0.076,"13,935"
266,Schiller Park, IL,7.3,6.9,"144,312",879,6,36,0.058,"11,654"
267,State College, PA,7.3,9.5,"34,358","2,357",15,25,0.125,"42,224"
268,Adelphi, MD,7.3,6.1,"141,591","2,793",9,48,0.183,"16,606"
269,Oatfield, OR,7.3,3.8,"76,290","2,331",6,34,0.048,"13,351"
270,Uniondale, NY,7.3,6.1,"227,115","1,918",10,48,0.112,"31,597"
271,Ithaca, NY,7.3,6.6,"29,692","2,514",20,27,0.158,"22,453"
272,Littleton, CO,7.3,8,"103,453","1,346",6,30,0.07,"44,142"
273,Hawthorne, CA,7.3,7.8,"284,423","1,575",7,51,0.067,"90,048"
274,Ferguson, MO,7.3,4.6,"57,618","2,271",5,35,0.081,"20,340"
275,Bay Point, CA,7.3,6.9,"124,752","2,002",11,51,0.09,"22,592"
276,Milton, MA,7.2,9,"208,218","3,278",6,44,0.13,"27,527"
277,Duarte, CA,7.2,9.8,"121,768","1,166",5,28,0.056,"21,832"
278,Bellwood, IL,7.2,6.5,"219,674",953,4,47,0.092,"19,270"
279,Sunnyvale, CA,7.2,6.7,"344,158","1,514",6,50,0.074,"151,957"
280,West Haven, CT,7.2,5.4,"99,546","1,365",3,24,0.064,"55,044"
281,El Monte, CA,7.2,5.7,"234,086","2,518",12,52,0.048,"112,917"
282,Atlantic City, NJ,7.2,7.5,"51,753","2,393",10,18,0.247,"39,075"
283,Miami Shores, FL,7.2,6.1,"251,399","1,938",7,51,0.032,"11,809"
284,Maywood, IL,7.2,7.1,"174,741","1,237",6,43,0.083,"23,749"
285,Palisades Park, NJ,7.2,5.8,"389,019","1,756",6,34,0.218,"20,716"
286,Rose Hill, VA,7.2,8.8,"152,897","1,792",9,32,0.164,"22,318"
287,Hawaiian Gardens, CA,7.2,9.1,"228,506","1,530",8,62,0.044,"14,468"
288,Lodi, NJ,7.2,6,"289,333","1,386",7,49,0.088,"24,805"
289,Richmond, CA,7.2,8.4,"128,165","1,940",13,28,0.147,"110,618"
290,Idylwood, VA,7.2,6.9,"239,490","1,029",4,27,0.187,"18,662"
291,New Brunswick, NJ,7.2,7.1,"99,653","1,173",10,23,0.088,"56,792"
292,Long Beach, NY,7.2,6.7,"41,046","1,140",4,11,0.198,"33,657"
293,South Euclid, OH,7.2,3.2,"121,238","2,419",3,37,0.028,"21,792"
294,Belvedere Park, GA,7.2,6.2,"77,828","1,855",6,39,0.138,"16,181"
295,North Lynnwood, WA,7.2,5.1,"175,186","2,988",11,48,0.106,"20,965"
296,Waimalu, HI,7.2,6.6,"173,787","1,628",10,34,0.073,"11,610"
297,Morton Grove, IL,7.2,6.3,"250,359","1,142",5,60,0.065,"23,834"
298,San Mateo, CA,7.2,7.2,"200,945","1,417",11,32,0.108,"103,270"
299,Alhambra, CA,7.2,5.7,"450,510","1,836",7,55,0.043,"85,168"
300,Norwalk, CA,7.2,6.3,"193,288","1,654",8,47,0.027,"107,041"
301,Amherst Center, MA,7.1,5.7,"30,913","3,662",9,18,0.135,"20,614"
302,Plainfield, NJ,7.1,6.8,"73,802","1,138",6,30,0.089,"51,097"
303,Whitefish Bay, WI,7.1,5.6,"143,632","1,775",4,23,0.015,"14,099"
304,Bellflower, CA,7.1,7,"186,855","1,354",8,55,0.03,"77,852"
305,White Center, WA,7.1,4.5,"208,177","1,922",5,33,0.143,"14,891"
306,Bellefontaine Neighbors, MO,7.1,3.9,"69,118","2,769",5,37,0.13,"11,716"
307,Swampscott, MA,7.1,6.3,"85,557","1,204",6,28,0.131,"14,563"
308,Summit, NJ,7.1,6.9,"130,551","1,002",3,25,0.229,"22,155"
309,Woodmere, NY,7.1,7.3,"90,712",664,4,19,0.216,"17,376"
310,Union City, CA,7.1,7.9,"107,171","2,425",12,33,0.092,"74,104"
311,Riverdale, IL,7.1,6.4,"100,528","1,081",4,51,0.188,"13,237"
312,Palo Alto, CA,7.1,7.5,"270,230","2,552",12,41,0.06,"67,926"
313,Glenvar Heights, FL,7.1,7.5,"227,165","1,698",6,47,0.075,"17,483"
314,Bellaire, TX,7.1,5.8,"423,252","2,326",5,46,0.015,"18,288"
315,West Hartford, CT,7.1,4.4,"155,364","2,345",6,31,0.027,"63,360"
316,Westbury, NY,7.1,7.9,"218,016","1,156",5,34,0.134,"15,357"
317,River Edge, NJ,7.1,6.5,"224,669","1,383",7,48,0.199,"11,648"
318,Ridgewood, NJ,7.1,6.4,"201,514","1,243",7,43,0.224,"25,554"
319,Quincy, MA,7.1,12.1,"218,643","1,973",7,38,0.286,"93,824"
320,Rahway, NJ,7.1,7.2,"150,777",780,3,31,0.132,"29,443"
321,West Valley City, UT,7.1,5.4,"97,527","3,085",5,35,0.032,"134,436"
322,Druid Hills, GA,7.1,5.2,"269,476","1,705",6,32,0.064,"13,717"
323,Evergreen Park, IL,7.1,6,"118,205","1,667",4,51,0.129,"19,033"
324,Parma, OH,7.1,3,"88,993","2,116",2,24,0.015,"79,871"
325,Winnetka, IL,7.1,6.4,"159,476",770,3,33,0.301,"12,567"
326,Miami Springs, FL,7.1,6.9,"213,230","1,065",8,47,0.022,"14,453"
327,Miami Gardens, FL,7.1,6,"106,552","1,839",8,53,0.056,"115,053"
328,Aspen Hill, MD,7.1,6.1,"164,696","2,242",7,50,0.168,"53,902"
329,Hybla Valley, VA,7.1,5.8,"46,286","1,901",7,20,0.151,"17,064"
330,Lansdale, PA,7.1,6.6,"50,093",840,3,20,0.053,"16,506"
331,Brooklyn, OH,7,2.8,"121,447","2,783",3,30,0.027,"10,891"
