,state code,county code,area,state abbv
289,1,0,Jackson city,AL
290,1,0,Jacksons' Gap town,AL
291,1,0,Jacksonville city,AL
292,1,0,Jasper city,AL
293,1,0,Jemison city,AL
294,1,0,Kansas town,AL
295,1,0,Kellyton town,AL
296,1,0,Kennedy town,AL
297,1,0,Killen town,AL
298,1,0,Kimberly city,AL
299,1,0,Kinsey town,AL
300,1,0,Kinston town,AL
301,1,0,La Fayette city,AL
302,1,0,Lakeview town,AL
303,1,0,Lake View town,AL
304,1,0,Lanett city,AL
305,1,0,Langston town,AL
306,1,0,Leeds city,AL
307,1,0,Leesburg town,AL
308,1,0,Leighton town,AL
309,1,0,Lester town,AL
310,1,0,Level Plains town,AL
311,1,0,Lexington town,AL
312,1,0,Libertyville town,AL
313,1,0,Lincoln city,AL
314,1,0,Linden city,AL
315,1,0,Lineville city,AL
316,1,0,Lipscomb city,AL
317,1,0,Lisman town,AL
318,1,0,Littleville town,AL
319,1,0,Livingston city,AL
320,1,0,Loachapoka town,AL
321,1,0,Lockhart town,AL
322,1,0,Locust Fork town,AL
323,1,0,Louisville town,AL
324,1,0,Lowndesboro town,AL
325,1,0,Loxley town,AL
326,1,0,Luverne city,AL
327,1,0,Lynn town,AL
328,1,0,McIntosh town,AL
329,1,0,McKenzie town,AL
330,1,0,McMullen town,AL
331,1,0,Madison city,AL
332,1,0,Madrid town,AL
333,1,0,Magnolia Springs town,AL
334,1,0,Malvern town,AL
335,1,0,Maplesville town,AL
336,1,0,Margaret town,AL
337,1,0,Marion city,AL
338,1,0,Maytown town,AL
339,1,0,Memphis town,AL
340,1,0,Mentone town,AL
341,1,0,Midfield city,AL
342,1,0,Midland City town,AL
343,1,0,Midway town,AL
344,1,0,Millbrook city,AL
345,1,0,Millport town,AL
346,1,0,Millry town,AL
347,1,0,Mobile city,AL
348,1,0,Monroeville city,AL
349,1,0,Montevallo city,AL
350,1,0,Montgomery city,AL
351,1,0,Moody city,AL
352,1,0,Mooresville town,AL
353,1,0,Morris town,AL
354,1,0,Mosses town,AL
355,1,0,Moulton city,AL
356,1,0,Moundville town,AL
357,1,0,Mountain Brook city,AL
358,1,0,Mount Vernon town,AL
359,1,0,Mulga town,AL
360,1,0,Munford town,AL
361,1,0,Muscle Shoals city,AL
362,1,0,Myrtlewood town,AL
363,1,0,Napier Field town,AL
364,1,0,Natural Bridge town,AL
365,1,0,Nauvoo town,AL
366,1,0,Nectar town,AL
367,1,0,Needham town,AL
368,1,0,Newbern town,AL
369,1,0,New Brockton town,AL
370,1,0,New Hope city,AL
371,1,0,New Site town,AL
372,1,0,Newton town,AL
373,1,0,Newville town,AL
374,1,0,North Courtland town,AL
375,1,0,North Johns town,AL
376,1,0,Northport city,AL
377,1,0,Notasulga town,AL
378,1,0,Oak Grove town,AL
379,1,0,Oak Hill town,AL
380,1,0,Oakman town,AL
381,1,0,Odenville town,AL
382,1,0,Ohatchee town,AL
383,1,0,Oneonta city,AL
384,1,0,Onycha town,AL
385,1,0,Opelika city,AL
386,1,0,Opp city,AL
387,1,0,Orange Beach city,AL
388,1,0,Orrville town,AL
389,1,0,Owens Cross Roads town,AL
390,1,0,Oxford city,AL
391,1,0,Ozark city,AL
392,1,0,Paint Rock town,AL
393,1,0,Parrish town,AL
394,1,0,Pelham city,AL
395,1,0,Pell City city,AL
396,1,0,Pennington town,AL
397,1,0,Perdido Beach town,AL
398,1,0,Petrey town,AL
399,1,0,Phenix City city,AL
400,1,0,Phil Campbell town,AL
401,1,0,Pickensville town,AL
402,1,0,Piedmont city,AL
403,1,0,Pike Road town,AL
404,1,0,Pinckard town,AL
405,1,0,Pine Apple town,AL
406,1,0,Pine Hill town,AL
407,1,0,Pine Ridge town,AL
408,1,0,Pinson city,AL
409,1,0,Pisgah town,AL
410,1,0,Pleasant Grove city,AL
411,1,0,Pleasant Groves town,AL
412,1,0,Pollard town,AL
413,1,0,Powell town,AL
414,1,0,Prattville city,AL
415,1,0,Priceville town,AL
416,1,0,Prichard city,AL
417,1,0,Providence town,AL
418,1,0,Ragland town,AL
419,1,0,Rainbow City city,AL
420,1,0,Rainsville city,AL
421,1,0,Ranburne town,AL
422,1,0,Red Bay city,AL
423,1,0,Red Level town,AL
424,1,0,Reece City town,AL
425,1,0,Reform town,AL
426,1,0,Rehobeth town,AL
427,1,0,Repton town,AL
428,1,0,Ridgeville town,AL
429,1,0,River Falls town,AL
430,1,0,Riverside city,AL
431,1,0,Riverview town,AL
432,1,0,Roanoke city,AL
433,1,0,Robertsdale city,AL
434,1,0,Rockford town,AL
435,1,0,Rogersville town,AL
436,1,0,Rosa town,AL
437,1,0,Russellville city,AL
438,1,0,Rutledge town,AL
439,1,0,St. Florian town,AL
440,1,0,Samson city,AL
441,1,0,Sand Rock town,AL
442,1,0,Sanford town,AL
443,1,0,Saraland city,AL
444,1,0,Sardis City town,AL
445,1,0,Satsuma city,AL
446,1,0,Scottsboro city,AL
447,1,0,Section town,AL
448,1,0,Selma city,AL
449,1,0,Semmes city,AL
450,1,0,Sheffield city,AL
451,1,0,Shiloh town,AL
452,1,0,Shorter town,AL
453,1,0,Silas town,AL
454,1,0,Silverhill town,AL
455,1,0,Sipsey town,AL
456,1,0,Skyline town,AL
457,1,0,Slocomb city,AL
458,1,0,Smiths Station city,AL
459,1,0,Snead town,AL
460,1,0,Somerville town,AL
461,1,0,Southside city,AL
462,1,0,South Vinemont town,AL
463,1,0,Spanish Fort city,AL
464,1,0,Springville city,AL
465,1,0,Steele town,AL
466,1,0,Stevenson city,AL
467,1,0,Sulligent city,AL
468,1,0,Sumiton city,AL
469,1,0,Summerdale town,AL
470,1,0,Susan Moore town,AL
471,1,0,Sweet Water town,AL
472,1,0,Sylacauga city,AL
473,1,0,Sylvania town,AL
474,1,0,Sylvan Springs town,AL
475,1,0,Talladega city,AL
476,1,0,Talladega Springs town,AL
477,1,0,Tallassee city,AL
478,1,0,Tarrant city,AL
479,1,0,Taylor town,AL
480,1,0,Thomaston town,AL
481,1,0,Thomasville city,AL
482,1,0,Thorsby town,AL
483,1,0,Town Creek town,AL
484,1,0,Toxey town,AL
485,1,0,Trafford town,AL
486,1,0,Triana town,AL
487,1,0,Trinity town,AL
488,1,0,Troy city,AL
489,1,0,Trussville city,AL
490,1,0,Tuscaloosa city,AL
491,1,0,Tuscumbia city,AL
492,1,0,Tuskegee city,AL
493,1,0,Twin town,AL
494,1,0,Union town,AL
495,1,0,Union Grove town,AL
496,1,0,Union Springs city,AL
497,1,0,Uniontown town,AL
498,1,0,Valley city,AL
499,1,0,Valley Grande city,AL
500,1,0,Valley Head town,AL
501,1,0,Vance town,AL
502,1,0,Vernon city,AL
503,1,0,Vestavia Hills city,AL
504,1,0,Vina town,AL
505,1,0,Vincent town,AL
506,1,0,Vredenburgh town,AL
507,1,0,Wadley town,AL
508,1,0,Waldo town,AL
509,1,0,Walnut Grove town,AL
510,1,0,Warrior city,AL
511,1,0,Waterloo town,AL
512,1,0,Waverly town,AL
513,1,0,Weaver city,AL
514,1,0,Webb town,AL
515,1,0,Wedowee town,AL
516,1,0,West Blocton town,AL
517,1,0,West Jefferson town,AL
518,1,0,Westover town,AL
519,1,0,West Point town,AL
520,1,0,Wetumpka city,AL
521,1,0,White Hall town,AL
522,1,0,Wilsonville town,AL
523,1,0,Wilton town,AL
524,1,0,Winfield city,AL
525,1,0,Woodland town,AL
526,1,0,Woodstock town,AL
527,1,0,Woodville town,AL
528,1,0,Yellow Bluff town,AL
529,1,0,York city,AL
530,2,0,Alaska,AK
531,2,13,Aleutians East Borough,AK
532,2,16,Aleutians West Census Area,AK
533,2,20,Anchorage Municipality,AK
534,2,50,Bethel Census Area,AK
535,2,60,Bristol Bay Borough,AK
536,2,63,Chugach Census Area,AK
537,2,66,Copper River Census Area,AK
538,2,68,Denali Borough,AK
539,2,70,Dillingham Census Area,AK
540,2,90,Fairbanks North Star Borough,AK
541,2,100,Haines Borough,AK
542,2,105,Hoonah-Angoon Census Area,AK
543,2,110,Juneau City and Borough,AK
544,2,122,Kenai Peninsula Borough,AK
545,2,130,Ketchikan Gateway Borough,AK
546,2,150,Kodiak Island Borough,AK
547,2,158,Kusilvak Census Area,AK
548,2,164,Lake and Peninsula Borough,AK
549,2,170,Matanuska-Susitna Borough,AK
550,2,180,Nome Census Area,AK
551,2,185,North Slope Borough,AK
552,2,188,Northwest Arctic Borough,AK
553,2,195,Petersburg Borough,AK
554,2,198,Prince of Wales-Hyder Census Area,AK
555,2,220,Sitka City and Borough,AK
556,2,230,Skagway Municipality,AK
557,2,240,Southeast Fairbanks Census Area,AK
558,2,275,Wrangell City and Borough,AK
559,2,282,Yakutat City and Borough,AK
560,2,290,Yukon-Koyukuk Census Area,AK
561,2,0,Adak city,AK
562,2,0,Akhiok city,AK
563,2,0,Akiak city,AK
564,2,0,Akutan city,AK
565,2,0,Alakanuk city,AK
566,2,0,Aleknagik city,AK
567,2,0,Allakaket city,AK
568,2,0,Ambler city,AK
569,2,0,Anaktuvuk Pass city,AK
570,2,0,Anchorage municipality,AK
571,2,0,Anderson city,AK
572,2,0,Angoon city,AK
573,2,0,Aniak city,AK
574,2,0,Anvik city,AK
575,2,0,Atka city,AK
576,2,0,Atqasuk city,AK
577,2,0,Bethel city,AK
578,2,0,Bettles city,AK
579,2,0,Brevig Mission city,AK
580,2,0,Buckland city,AK
581,2,0,Chefornak city,AK
582,2,0,Chevak city,AK
583,2,0,Chignik city,AK
584,2,0,Chuathbaluk city,AK
585,2,0,Clark's Point city,AK
586,2,0,Coffman Cove city,AK
587,2,0,Cold Bay city,AK
588,2,0,Cordova city,AK
589,2,0,Craig city,AK
590,2,0,Deering city,AK
591,2,0,Delta Junction city,AK
592,2,0,Dillingham city,AK
593,2,0,Diomede city,AK
594,2,0,Eagle city,AK
595,2,0,Edna Bay city,AK
596,2,0,Eek city,AK
597,2,0,Egegik city,AK
598,2,0,Ekwok city,AK
599,2,0,Elim city,AK
600,2,0,Emmonak city,AK
601,2,0,Fairbanks city,AK
602,2,0,False Pass city,AK
603,2,0,Fort Yukon city,AK
604,2,0,Galena city,AK
605,2,0,Gambell city,AK
606,2,0,Golovin city,AK
607,2,0,Goodnews Bay city,AK
608,2,0,Grayling city,AK
609,2,0,Gustavus city,AK
610,2,0,Holy Cross city,AK
611,2,0,Homer city,AK
612,2,0,Hoonah city,AK
613,2,0,Hooper Bay city,AK
614,2,0,Houston city,AK
615,2,0,Hughes city,AK
616,2,0,Huslia city,AK
617,2,0,Hydaburg city,AK
618,2,0,Juneau city and borough,AK
619,2,0,Kachemak city,AK
620,2,0,Kake city,AK
621,2,0,Kaktovik city,AK
622,2,0,Kaltag city,AK
623,2,0,Kasaan city,AK
624,2,0,Kenai city,AK
625,2,0,Ketchikan city,AK
626,2,0,Kiana city,AK
627,2,0,King Cove city,AK
628,2,0,Kivalina city,AK
629,2,0,Klawock city,AK
630,2,0,Kobuk city,AK
631,2,0,Kodiak city,AK
632,2,0,Kotlik city,AK
633,2,0,Kotzebue city,AK
634,2,0,Koyuk city,AK
635,2,0,Koyukuk city,AK
636,2,0,Kupreanof city,AK
637,2,0,Kwethluk city,AK
638,2,0,Larsen Bay city,AK
639,2,0,Lower Kalskag city,AK
640,2,0,McGrath city,AK
641,2,0,Manokotak city,AK
642,2,0,Marshall city,AK
643,2,0,Mekoryuk city,AK
644,2,0,Mountain Village city,AK
645,2,0,Napakiak city,AK
646,2,0,Napaskiak city,AK
647,2,0,Nenana city,AK
648,2,0,Newhalen city,AK
649,2,0,New Stuyahok city,AK
650,2,0,Nightmute city,AK
651,2,0,Nikolai city,AK
652,2,0,Nome city,AK
653,2,0,Nondalton city,AK
654,2,0,Noorvik city,AK
655,2,0,North Pole city,AK
656,2,0,Nuiqsut city,AK
657,2,0,Nulato city,AK
658,2,0,Nunam Iqua city,AK
659,2,0,Nunapitchuk city,AK
660,2,0,Old Harbor city,AK
661,2,0,Ouzinkie city,AK
662,2,0,Palmer city,AK
663,2,0,Pelican city,AK
664,2,0,Pilot Point city,AK
665,2,0,Pilot Station city,AK
666,2,0,Platinum city,AK
667,2,0,Point Hope city,AK
668,2,0,Port Alexander city,AK
669,2,0,Port Heiden city,AK
670,2,0,Port Lions city,AK
671,2,0,Quinhagak city,AK
672,2,0,Ruby city,AK
673,2,0,Russian Mission city,AK
674,2,0,St. George city,AK
675,2,0,St. Mary's city,AK
676,2,0,St. Michael city,AK
677,2,0,St. Paul city,AK
678,2,0,Sand Point city,AK
679,2,0,Savoonga city,AK
680,2,0,Saxman city,AK
681,2,0,Scammon Bay city,AK
682,2,0,Selawik city,AK
683,2,0,Seldovia city,AK
684,2,0,Seward city,AK
685,2,0,Shageluk city,AK
686,2,0,Shaktoolik city,AK
687,2,0,Shishmaref city,AK
688,2,0,Shungnak city,AK
689,2,0,Sitka city and borough,AK
690,2,0,Soldotna city,AK
691,2,0,Stebbins city,AK
692,2,0,Tanana city,AK
693,2,0,Teller city,AK
694,2,0,Tenakee Springs city,AK
695,2,0,Thorne Bay city,AK
696,2,0,Togiak city,AK
697,2,0,Toksook Bay city,AK
698,2,0,Unalakleet city,AK
699,2,0,Unalaska city,AK
700,2,0,Upper Kalskag city,AK
701,2,0,Utqiagvik city,AK
702,2,0,Valdez city,AK
703,2,0,Wainwright city,AK
704,2,0,Wales city,AK
705,2,0,Wasilla city,AK
706,2,0,Whale Pass city,AK
707,2,0,White Mountain city,AK
708,2,0,Whittier city,AK
709,2,0,Wrangell city and borough,AK
710,4,0,Arizona,AZ
711,4,1,Apache County,AZ
712,4,3,Cochise County,AZ
713,4,5,Coconino County,AZ
714,4,7,Gila County,AZ
715,4,9,Graham County,AZ
716,4,11,Greenlee County,AZ
717,4,12,La Paz County,AZ
718,4,13,Maricopa County,AZ
719,4,15,Mohave County,AZ
720,4,17,Navajo County,AZ
721,4,19,Pima County,AZ
722,4,21,Pinal County,AZ
723,4,23,Santa Cruz County,AZ
724,4,25,Yavapai County,AZ
725,4,27,Yuma County,AZ
726,4,0,Apache Junction city,AZ
727,4,0,Avondale city,AZ
728,4,0,Benson city,AZ
729,4,0,Bisbee city,AZ
730,4,0,Buckeye city,AZ
731,4,0,Bullhead City city,AZ
732,4,0,Camp Verde town,AZ
733,4,0,Carefree town,AZ
734,4,0,Casa Grande city,AZ
735,4,0,Cave Creek town,AZ
736,4,0,Chandler city,AZ
737,4,0,Chino Valley town,AZ
738,4,0,Clarkdale town,AZ
739,4,0,Clifton town,AZ
740,4,0,Colorado City town,AZ
741,4,0,Coolidge city,AZ
742,4,0,Cottonwood city,AZ
743,4,0,Dewey-Humboldt town,AZ
744,4,0,Douglas city,AZ
745,4,0,Duncan town,AZ
746,4,0,Eagar town,AZ
747,4,0,El Mirage city,AZ
748,4,0,Eloy city,AZ
749,4,0,Flagstaff city,AZ
750,4,0,Florence town,AZ
751,4,0,Fountain Hills town,AZ
752,4,0,Fredonia town,AZ
753,4,0,Gila Bend town,AZ
754,4,0,Gilbert town,AZ
755,4,0,Glendale city,AZ
756,4,0,Globe city,AZ
757,4,0,Goodyear city,AZ
758,4,0,Guadalupe town,AZ
759,4,0,Hayden town,AZ
760,4,0,Holbrook city,AZ
761,4,0,Huachuca City town,AZ
762,4,0,Jerome town,AZ
763,4,0,Kearny town,AZ
764,4,0,Kingman city,AZ
765,4,0,Lake Havasu City city,AZ
766,4,0,Litchfield Park city,AZ
767,4,0,Mammoth town,AZ
768,4,0,Marana town,AZ
769,4,0,Maricopa city,AZ
770,4,0,Mesa city,AZ
771,4,0,Miami town,AZ
772,4,0,Nogales city,AZ
773,4,0,Oro Valley town,AZ
774,4,0,Page city,AZ
775,4,0,Paradise Valley town,AZ
776,4,0,Parker town,AZ
777,4,0,Patagonia town,AZ
778,4,0,Payson town,AZ
779,4,0,Peoria city,AZ
780,4,0,Phoenix city,AZ
781,4,0,Pima town,AZ
782,4,0,Pinetop-Lakeside town,AZ
783,4,0,Prescott city,AZ
784,4,0,Prescott Valley town,AZ
785,4,0,Quartzsite town,AZ
786,4,0,Queen Creek town,AZ
787,4,0,Safford city,AZ
788,4,0,Sahuarita town,AZ
789,4,0,St. Johns city,AZ
790,4,0,San Luis city,AZ
791,4,0,Scottsdale city,AZ
792,4,0,Sedona city,AZ
793,4,0,Show Low city,AZ
794,4,0,Sierra Vista city,AZ
795,4,0,Snowflake town,AZ
796,4,0,Somerton city,AZ
797,4,0,South Tucson city,AZ
798,4,0,Springerville town,AZ
799,4,0,Star Valley town,AZ
800,4,0,Superior town,AZ
